Type,Title,URL,Content
Link,How shy Aussie kid Ricciardo became F1's golden boyRicciardo leaves F1 as one of its most successful and popular drivers and a legend of Australian sport.2 days agoAustralia,https://www.bbc.com/news/articles/cx25xjkpr8jo,
Link,Married at First Sight counselling 'nothing like the real thing'To what extent is the advice given on MAFS similar to the therapy that happens in a real counselling room?13 hrs agoCulture,https://www.bbc.com/news/articles/c4glkklvjrvo,
Link,Chad exploits Russian-Western rivalry to its advantagePresident Mahamat Déby is getting closer to Moscow with the US and France nervously looking on.12 hrs agoWorld,https://www.bbc.com/news/articles/cx2kr40nlkpo,
Link,"Trump returns to scene of shooting - and a town trying to healThe mood in Butler, Pennsylvania, is a mixture of guilt and grief ahead of Trump's return.7 hrs agoUS & Canada",https://www.bbc.com/news/articles/cx20dr33xjeo,
Link,How shy Aussie kid Ricciardo became F1's golden boyRicciardo leaves F1 as one of its most successful and popular drivers and a legend of Australian sport.2 days agoAustralia,https://www.bbc.com/news/articles/cx25xjkpr8jo,
Link,"Should you tip even if the service wasn't worth it?There are no set rules when it comes to tipping but here's what hospitality staff, customers and experts have to say.15 hrs agoBusiness",https://www.bbc.com/news/articles/cz7jr4125wzo,
Link,"How India became a Test cricket powerhouseMore than 90 years after its first Test match, India boasts more victories in the format than losses.2 days agoAsia",https://www.bbc.com/news/articles/cz6w0lygq22o,
Link,Married at First Sight counselling 'nothing like the real thing'To what extent is the advice given on MAFS similar to the therapy that happens in a real counselling room?13 hrs agoCulture,https://www.bbc.com/news/articles/c4glkklvjrvo,
Link,"1Months on, Trump shooting witness still stunned by security lapse",https://www.bbc.com/news/videos/cwy91d1g057o,
Link,2Ian Hislop laughs off taxi 'shooting' incident,https://www.bbc.com/news/videos/c70zr1x4449o,
Link,3Watch: Ten-year-old drives stolen car through playground,https://www.bbc.com/news/videos/cg78v0l5gxvo,
Link,4Hidden runway bomb explodes just after plane takes off,https://www.bbc.com/news/videos/cy430j48kjyo,
Link,5Watch: Dangerous driving caught on camera,https://www.bbc.com/news/videos/c89l8v3qd7go,
Link,How a stale A$17.50 cookie sparked a social media stormThe doughy drama has left foodies and influencers scratching their heads in Australia.1 day agoAustralia,https://www.bbc.com/news/articles/cvglmr40lzlo,
Link,"Political row erupts over Hurricane Helene disaster reliefTrump slams Fema for spending money on migrants, but the agency says those funds did not come from its hurricane relief.10 hrs agoUS & Canada",https://www.bbc.com/news/articles/c5y3qgqxpwno,
Link,Northern Lights possible as solar storms gatherThe largest solar flare since 2017 has been spotted erupting from the Sun’s surface.1 day agoScience & Environment,https://www.bbc.com/news/articles/cy437gnp28zo,
Link,"Watch: Elephants escape floodwaters in ThailandThe elephants were evacuated from flash flooding at a sanctuary near Chiang Mai, Thailand.1 day agoAsia",https://www.bbc.com/news/videos/c99v7003vdyo,
Link,WHO approves first mpox test for quick diagnosisLack of testing and delays in getting the results have made curbing the virus's spread harder.1 day agoAfrica,https://www.bbc.com/news/articles/c2436p21j90o,
Link,"Political row erupts over Hurricane Helene disaster reliefTrump slams Fema for spending money on migrants, but the agency says those funds did not come from its hurricane relief.10 hrs agoUS & Canada",https://www.bbc.com/news/articles/c5y3qgqxpwno,
Link,Watch: Dangerous driving caught on camera in UKMore people are being prosecuted for dangerous driving thanks to a huge increase in footage submitted to police by the public.1 day agoUK,https://www.bbc.com/news/videos/c89l8v3qd7go,
Link,"Women in Submarine Service suffered misogyny and bullying, Royal Navy findsAdmiral Sir Ben Key said: ""We must be better than this and do better than we have.""19 hrs agoUK",https://www.bbc.com/news/articles/c9wk7ljzg2do,
Link,Northern Lights possible as solar storms gatherThe largest solar flare since 2017 has been spotted erupting from the Sun’s surface.1 day agoScience & Environment,https://www.bbc.com/news/articles/cy437gnp28zo,
Link,1The week that pushed the Middle East closer to all-out war,https://www.bbc.com/news/articles/c0r89qwwx2lo,
Link,2Biden: 'I don't know' if Netanyahu is trying to sway US election,https://www.bbc.com/news/articles/cje3zl0dq2ko,
Link,3What might happen next with conflict in the Middle East? 10 experts share their analysis,https://www.bbc.com/news/articles/clylzx1xz2yo,
Link,4The racist AI deepfake that fooled and divided a community,https://www.bbc.com/news/articles/ckg9k5dv1zdo,
Link,5US election polls: Who is ahead - Harris or Trump?,https://www.bbc.com/news/articles/cj4x71znwxdo,
Link,6US warships and planes strike Houthi targets in Yemen,https://www.bbc.com/news/articles/cx2ld3wxeyqo,
Link,7Could the deaths of 20 school children help make Thailand's roads safer?,https://www.bbc.com/news/articles/c5y0jm7jpx8o,
Link,8Parkrun: The local jog that became a worldwide hit,https://www.bbc.com/news/articles/c80r3myl990o,
Link,9Day-Lewis film shoot ticketed by traffic wardens,https://www.bbc.com/news/articles/cvgxj1jy71zo,
Link,10Lebanon hospitals close as Israeli strikes hit health facilities,https://www.bbc.com/news/articles/c30lj9m300vo,
Link,LIVEPremier League: Liverpool in front at Crystal Palace through early Jota goalFollow live as Crystal Palace host Liverpool in the first of seven Premier League games on Saturday.,https://www.bbc.com/sport/football/live/cy76dplpd2vt,
Link,Captain Stokes out of first Test as Carse debutsEngland captain Ben Stokes is out of the first Test against Pakistan after failing to recover from a hamstring injury in time.4 hrs agoCricket,https://www.bbc.com/sport/cricket/articles/cvgl8d5g1rvo,
Link,"LIVEChampionship: Norwich 2-0 up against Hull, Pompey miss penaltyFollow live text & score updates from 10 games in the Championship, including three matches at 12:30 BST.",https://www.bbc.com/sport/live/cly4zn5x5qzt,
Link,"LIVEWSL: Parris scores first Brighton goal to cancel out Daly openerFollow live text and radio commentary, score updates and match stats from Brighton & Hove Albion vs Aston Villa in the Women's Super League.",https://www.bbc.com/sport/football/live/cq8xepq33g2t,
Link,Gauff fights back to reach China Open finalFourth seed Coco Gauff comes from a set and a break down to beat Paula Badosa and reach her first China Open final.2 hrs agoTennis,https://www.bbc.com/sport/tennis/articles/c1jd97g25z8o,
